Name,lat,lon
Champ-sur-Drac,45.0694,5.73151
Champagne-sur-Seine,48.39794,2.79785
Chailles,47.5416,1.3122
Châbons,45.44282,5.42542
Chablis,47.81386,3.79835
Cérences,48.91667,-1.4347
Carpentras,44.05507,5.04813
Carignan,49.63159,5.16796
Capvern,43.1022,0.31651
Camphin-en-Pévèle,50.59561,3.26082
Camphin-en-Carembault,50.51196,2.9871
Buhl,47.92806,7.18719
Cesson,48.56204,2.60816
Carpiquet,49.18522,-0.44623
Caromb,44.11106,5.10738
Carignan-de-Bordeaux,44.8,-0.48333
Carcans,45.07852,-1.04479
Cancon,44.53602,0.62512
Cabannes,43.86015,4.95192
Buzançais,46.88877,1.4195
Briare,47.63343,2.7438
Breuschwickersheim,48.58007,7.60159
Brain-sur-Allonnes,47.30263,0.06574
Boussois,50.28907,4.04117
Bonson,45.52291,4.2127
Bonneville,46.0802,6.40726
Bonne,46.17207,6.32443
Bonnac-la-Côte,45.94146,1.28471
Bologne,48.20005,5.14209
Boissise-le-Roi,48.52479,2.56971
Bligny-lès-Beaune,46.98631,4.8262
Blaison-Gohier,47.39951,-0.37723
Blainville-Crevon,49.50395,1.29952
Blain,47.47563,-1.76449
Bièvres,48.75772,2.21881
Belley,45.75917,5.68813
Béligneux,45.86775,5.12747
Bédoin,44.12432,5.1804
Beaulieu-sous-la-Roche,46.67706,-1.61073
Beaucamps-le-Vieux,49.84642,1.78272
Bazouges-sur-le-Loir,47.68928,-0.16883
Bayonne,43.49316,-1.473
Baugy,47.08181,2.72848
Barsac,44.60777,-0.31673
Barjac,44.30841,4.34774
Barbaste,44.1693,0.28603
Le Camas,43.29469,5.39415
La Conception,43.29174,5.39391
Zutkerque,50.85303,2.06818
Vouillé,46.64101,0.16818
Voisenon,48.5717,2.6648
Vivier-au-Court,49.73326,4.82939
Villiers-le-Morhier,48.62018,1.56349
Villevaudé,48.91751,2.65228
Villepinte,43.28216,2.08702
Villeneuve-la-Guyard,48.34093,3.06176
Vieillevigne,46.97152,-1.43446
Vic-le-Comte,45.64296,3.24607
Verrières-le-Buisson,48.74565,2.26796
Vernoux-en-Vivarais,44.89577,4.64524
Vendin-le-Vieil,50.47385,2.86674
Vauréal,49.03333,2.03333
Vaudelnay,47.13744,-0.20443
Varengeville-sur-Mer,49.90475,0.99479
Vallauris,43.57803,7.05451
Urcuit,43.48546,-1.33693
Tourbes,43.44616,3.37791
Toulenne,44.55862,-0.26259
Torcy,46.76857,4.45333
Torcé,48.06174,-1.26677
Tonquédec,48.66909,-3.39743
Tinténiac,48.32908,-1.83545
